"level","model","domain","source","total_citations","status_found","status_not_found","status_other","status_found_pct","status_not_found_pct","status_other_pct","status_mismatch","status_verified","status_check","title_found","title_found_pct","author_matched","author_matched_pct","doi_valid","doi_valid_pct","all_three_valid","all_three_valid_pct","verification_score_average","verification_score_median","verification_score_0","verification_score_0_pct","verification_score_1","verification_score_1_pct","verification_score_2","verification_score_2_pct","verification_score_3","verification_score_3_pct","verification_title_no__author_no__doi_no","verification_title_no__author_no__doi_no_pct","verification_title_no__author_no__doi_yes","verification_title_no__author_no__doi_yes_pct","verification_title_no__author_yes__doi_no","verification_title_no__author_yes__doi_no_pct","verification_title_no__author_yes__doi_yes","verification_title_no__author_yes__doi_yes_pct","verification_title_yes__author_no__doi_no","verification_title_yes__author_no__doi_no_pct","verification_title_yes__author_no__doi_yes","verification_title_yes__author_no__doi_yes_pct","verification_title_yes__author_yes__doi_no","verification_title_yes__author_yes__doi_no_pct","verification_title_yes__author_yes__doi_yes","verification_title_yes__author_yes__doi_yes_pct","verification_unknown_or_missing","male","female","unknown_gender","male_pct","female_pct","male_pct_known_gender","female_pct_known_gender","male_high_confidence","female_high_confidence","male_low_confidence","female_low_confidence","high_confidence_combined","low_confidence_combined","gender_missing_probability","male_high_confidence_pct","female_high_confidence_pct","male_low_confidence_pct","female_low_confidence_pct","gender_male__status_mismatch","gender_male__status_verified","gender_female__status_verified","gender_female__status_mismatch","gender_male__status_not_found","gender_unknown__status_verified","gender_female__status_not_found","gender_unknown__status_not_found","gender_unknown__status_mismatch","gender_unknown__status_check","gender_male__verification_score_2","gender_male__verification_score_3","gender_male__verification_score_1","gender_female__verification_score_2","gender_female__verification_score_3","gender_male__verification_score_0","gender_female__verification_score_1","gender_unknown__verification_score_3","gender_female__verification_score_0","gender_unknown__verification_score_0","gender_unknown__verification_score_1","gender_unknown__verification_score_unknown","gender_unknown__verification_score_2","h_index_average","h_index_median","h_index_total_found","h_index_found_pct","works_average","works_median","works_total_found","works_found_pct","male_h_index_average","male_h_index_median","male_h_index_total_found","male_h_index_found_pct","male_works_average","male_works_median","male_works_total_found","male_works_found_pct","female_h_index_average","female_h_index_median","female_h_index_total_found","female_h_index_found_pct","female_works_average","female_works_median","female_works_total_found","female_works_found_pct","author_identified","author_not_identified","author_identification_pct","doi_invalid","doi_unknown","failed_db_acl_anthology","failed_db_acl_anthology_pct","failed_db_crossref","failed_db_crossref_pct","failed_db_europe_pmc","failed_db_europe_pmc_pct","failed_db_open_library","failed_db_open_library_pct","failed_db_openalex","failed_db_openalex_pct","failed_db_semantic_scholar","failed_db_semantic_scholar_pct","failed_db_arxiv","failed_db_arxiv_pct"
"overall","all","all","all","14990","0","6770","8220","0","45.16","54.84","1084","7095","41","8179","54.56","7095","47.33","4397","29.33","4290","28.62","1.32","1","6746","45","1025","6.84","2888","19.27","4290","28.62","6746","45","24","0.16","0","0","0","0","1001","6.68","83","0.55","2805","18.71","4290","28.62","41","11410","3476","104","76.12","23.19","76.65","23.35","10533","2989","877","487","13522","1364","0","70.27","19.94","5.85","3.25","782","5716","1364","293","4912","15","1819","39","9","41","2306","3475","734","576","804","4895","281","11","1815","36","10","41","6","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","14949","41","99.73","10552","41","89","0.59","95","0.63","301","2.01","760","5.07","1119","7.46","2294","15.3","6894","45.99"
"model","anthropic","all","all","4990","0","1506","3484","0","30.18","69.82","388","3058","38","3446","69.06","3058","61.28","2021","40.5","1968","39.44","1.72","2","1494","29.94","359","7.19","1131","22.67","1968","39.44","1494","29.94","12","0.24","0","0","0","0","347","6.95","41","0.82","1090","21.84","1968","39.44","38","3846","1089","55","77.07","21.82","77.93","22.07","3547","951","299","138","4498","437","0","71.08","19.06","5.99","2.77","285","2468","580","102","1093","10","407","6","1","38","905","1593","264","223","368","1084","94","7","404","6","1","38","3","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","4952","38","99.24","2931","38","35","0.7","9","0.18","20","0.4","15","0.3","6","0.12","650","13.03","2337","46.83"
"model","gemini","all","all","5000","0","4107","893","0","82.14","17.86","115","777","1","892","17.84","777","15.54","304","6.08","295","5.9","0.39","0","4101","82.02","118","2.36","485","9.7","295","5.9","4101","82.02","6","0.12","0","0","0","0","112","2.24","3","0.06","482","9.64","295","5.9","1","3750","1220","30","75","24.4","75.45","24.55","3432","1020","318","200","4452","518","0","68.64","20.4","6.36","4","87","671","106","23","2992","","1091","24","5","1","410","262","88","75","33","2990","22","","1090","21","8","1","","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","4999","1","99.98","4695","1","32","0.64","58","1.16","139","2.78","644","12.88","1","0.02","1124","22.48","4049","80.98"
"model","gpt","all","all","5000","0","1157","3843","0","23.14","76.86","581","3260","2","3841","76.82","3260","65.2","2072","41.44","2027","40.54","1.84","2","1151","23.02","548","10.96","1272","25.44","2027","40.54","1151","23.02","6","0.12","0","0","0","0","542","10.84","39","0.78","1233","24.66","2027","40.54","2","3814","1167","19","76.28","23.34","76.57","23.43","3554","1018","260","149","4572","409","0","71.08","20.36","5.2","2.98","410","2577","678","168","827","5","321","9","3","2","991","1620","382","278","403","821","165","4","321","9","1","2","3","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","4998","2","99.96","2926","2","22","0.44","28","0.56","142","2.84","101","2.02","1112","22.24","520","10.4","508","10.16"
"domain","all","cs","all","3000","0","1000","2000","0","33.33","66.67","98","1900","2","1998","66.6","1900","63.33","1262","42.07","1244","41.47","1.72","2","991","33.03","98","3.27","665","22.17","1244","41.47","991","33.03","9","0.3","0","0","0","0","89","2.97","9","0.3","656","21.87","1244","41.47","2","2545","452","3","84.83","15.07","84.92","15.08","2150","285","395","167","2435","562","0","71.67","9.5","13.17","5.57","76","1673","227","22","796","","203","1","","2","564","1115","78","101","129","788","20","","202","1","","2","","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","2998","2","99.93","1736","2","14","0.47","24","0.8","41","1.37","182","6.07","13","0.43","366","12.2","1119","37.3"
"domain","all","environmental","all","3000","0","2012","988","0","67.07","32.93","251","733","4","984","32.8","733","24.43","413","13.77","395","13.17","0.71","0","2008","66.93","241","8.03","352","11.73","395","13.17","2008","66.93","4","0.13","0","0","0","0","237","7.9","14","0.47","338","11.27","395","13.17","4","2003","989","8","66.77","32.97","66.95","33.05","1837","872","166","117","2709","283","0","61.23","29.07","5.53","3.9","167","507","226","83","1329","","680","3","1","4","243","277","158","109","118","1325","82","","680","3","1","4","","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","2996","4","99.87","2583","4","22","0.73","16","0.53","147","4.9","228","7.6","618","20.6","588","19.6","1684","56.13"
"domain","all","medicine","all","2990","0","1338","1652","0","44.75","55.25","495","1128","29","1623","54.28","1128","37.73","844","28.23","790","26.42","1.21","1","1334","44.62","449","15.02","388","12.98","790","26.42","1334","44.62","4","0.13","0","0","0","0","445","14.88","50","1.67","338","11.3","790","26.42","29","2148","791","51","71.84","26.45","73.09","26.91","2036","736","112","55","2772","167","0","68.09","24.62","3.75","1.84","349","858","269","142","941","1","380","17","4","29","301","596","311","85","193","940","136","1","377","17","2","29","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","2961","29","99.03","2117","29","16","0.54","24","0.8","77","2.58","165","5.52","408","13.65","462","15.45","1528","51.1"
"domain","all","physics","all","3000","0","1469","1531","0","48.97","51.03","119","1407","5","1526","50.87","1407","46.9","899","29.97","889","29.63","1.28","1","1466","48.87","115","3.83","525","17.5","889","29.63","1466","48.87","3","0.1","0","0","0","0","112","3.73","7","0.23","518","17.27","889","29.63","5","2423","551","26","80.77","18.37","81.47","18.53","2288","457","135","94","2745","229","0","76.27","15.23","4.5","3.13","100","1158","237","19","1165","12","295","9","","5","426","736","99","95","145","1162","16","8","295","9","","5","4","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","2995","5","99.83","2096","5","15","0.5","13","0.43","13","0.43","90","3","48","1.6","464","15.47","1185","39.5"
"domain","all","social_sciences","all","3000","0","951","2049","0","31.7","68.3","121","1927","1","2048","68.27","1927","64.23","979","32.63","972","32.4","1.65","2","947","31.57","122","4.07","958","31.93","972","32.4","947","31.57","4","0.13","0","0","0","0","118","3.93","3","0.1","955","31.83","972","32.4","1","2291","693","16","76.37","23.1","76.78","23.22","2222","639","69","54","2861","123","0","74.07","21.3","2.3","1.8","90","1520","405","27","681","2","261","9","4","1","772","751","88","186","219","680","27","2","261","6","7","1","","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","2999","1","99.97","2020","1","22","0.73","18","0.6","23","0.77","95","3.17","32","1.07","414","13.8","1378","45.93"
"source","all","all","astrophysics","1500","0","782","718","0","52.13","47.87","30","684","4","714","47.6","684","45.6","430","28.67","426","28.4","1.22","0","781","52.07","28","1.87","261","17.4","426","28.4","781","52.07","1","0.07","0","0","0","0","27","1.8","3","0.2","258","17.2","426","28.4","4","1112","369","19","74.13","24.6","75.08","24.92","1056","319","56","50","1375","106","0","70.4","21.27","3.73","3.33","19","521","157","11","572","6","201","9","","4","190","331","20","70","90","571","8","5","201","9","","4","1","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","1496","4","99.73","1066","4","3","0.2","5","0.33","2","0.13","9","0.6","6","0.4","253","16.87","393","26.2"
