"level","model","domain","source","total_citations","status_found","status_not_found","status_other","status_found_pct","status_not_found_pct","status_other_pct","title_found","title_found_pct","author_matched","author_matched_pct","doi_valid","doi_valid_pct","all_three_valid","all_three_valid_pct","verification_title_no__author_no__doi_no","verification_title_no__author_no__doi_no_pct","verification_title_no__author_no__doi_yes","verification_title_no__author_no__doi_yes_pct","verification_title_no__author_yes__doi_no","verification_title_no__author_yes__doi_no_pct","verification_title_no__author_yes__doi_yes","verification_title_no__author_yes__doi_yes_pct","verification_title_yes__author_no__doi_no","verification_title_yes__author_no__doi_no_pct","verification_title_yes__author_no__doi_yes","verification_title_yes__author_no__doi_yes_pct","verification_title_yes__author_yes__doi_no","verification_title_yes__author_yes__doi_no_pct","verification_title_yes__author_yes__doi_yes","verification_title_yes__author_yes__doi_yes_pct","verification_unknown_or_missing","male","female","unknown_gender","male_pct","female_pct","male_pct_known_gender","female_pct_known_gender","male_high_confidence","female_high_confidence","male_low_confidence","female_low_confidence","high_confidence_combined","low_confidence_combined","gender_missing_probability","male_high_confidence_pct","female_high_confidence_pct","male_low_confidence_pct","female_low_confidence_pct","gender_male__status_other","gender_male__status_found","gender_female__status_found","gender_female__status_other","gender_male__status_not_found","gender_unknown__status_found","gender_female__status_not_found","gender_unknown__status_not_found","gender_unknown__status_other","h_index_average","h_index_median","h_index_total_found","h_index_found_pct","h_index_found_pct_identified","works_average","works_median","works_total_found","works_found_pct","works_found_pct_identified","found_h_index_average","found_h_index_median","found_h_index_total_found","found_h_index_found_pct","found_h_index_found_pct_identified","found_h_index_identified_authors","found_h_index_total_references","not_found_h_index_average","not_found_h_index_median","not_found_h_index_total_found","not_found_h_index_found_pct","not_found_h_index_found_pct_identified","not_found_h_index_identified_authors","not_found_h_index_total_references","other_h_index_average","other_h_index_median","other_h_index_total_found","other_h_index_found_pct","other_h_index_found_pct_identified","other_h_index_identified_authors","other_h_index_total_references","male_h_index_average","male_h_index_median","male_h_index_total_found","male_h_index_found_pct","male_h_index_found_pct_identified","male_works_average","male_works_median","male_works_total_found","male_works_found_pct","male_works_found_pct_identified","female_h_index_average","female_h_index_median","female_h_index_total_found","female_h_index_found_pct","female_h_index_found_pct_identified","female_works_average","female_works_median","female_works_total_found","female_works_found_pct","female_works_found_pct_identified","author_identified","author_not_identified","author_identification_pct","doi_invalid","doi_unknown","failed_db_acl_anthology","failed_db_acl_anthology_pct","failed_db_crossref","failed_db_crossref_pct","failed_db_europe_pmc","failed_db_europe_pmc_pct","failed_db_open_library","failed_db_open_library_pct","failed_db_openalex","failed_db_openalex_pct","failed_db_semantic_scholar","failed_db_semantic_scholar_pct","failed_db_arxiv","failed_db_arxiv_pct"
"overall","all","all","all","14990","7095","6770","1125","47.33","45.16","7.51","8179","54.56","7095","47.33","4397","29.33","4290","28.62","6746","45","24","0.16","0","0","0","0","1001","6.68","83","0.55","2805","18.71","4290","28.62","41","11409","3477","104","76.11","23.2","76.64","23.36","10532","2990","877","487","13522","1364","0","70.26","19.95","5.85","3.25","782","5716","1364","293","4911","15","1820","39","50","59.43","50","12772","85.2","100","390.65","240.5","12772","85.2","100","55.96","47","6571","92.61","100","6571","7095","63.82","54","5384","79.53","100","5384","6770","58.32","49","817","72.62","100","817","1125","62.15","52","9971","87.4","100","403.02","256","9971","87.4","100","49.95","44","2774","79.78","100","348.33","197","2774","79.78","100","12772","2218","85.2","10552","41","89","0.59","95","0.63","301","2.01","760","5.07","1119","7.46","2294","15.3","6894","45.99"
"model","anthropic","all","all","4990","3058","1506","426","61.28","30.18","8.54","3446","69.06","3058","61.28","2021","40.5","1968","39.44","1494","29.94","12","0.24","0","0","0","0","347","6.95","41","0.82","1090","21.84","1968","39.44","38","3846","1089","55","77.07","21.82","77.93","22.07","3547","951","299","138","4498","437","0","71.08","19.06","5.99","2.77","285","2468","580","102","1093","10","407","6","39","57.5","49","4397","88.12","100","366.01","224","4397","88.12","100","56.54","47","2828","92.48","100","2828","3058","59.5","51","1248","82.87","100","1248","1506","58.11","48","321","75.35","100","321","426","60.19","50","3448","89.65","100","370.75","240","3448","89.65","100","47.98","43","939","86.23","100","351.72","179","939","86.23","100","4397","593","88.12","2931","38","35","0.7","9","0.18","20","0.4","15","0.3","6","0.12","650","13.03","2337","46.83"
"model","gemini","all","all","5000","777","4107","116","15.54","82.14","2.32","892","17.84","777","15.54","304","6.08","295","5.9","4101","82.02","6","0.12","0","0","0","0","112","2.24","3","0.06","482","9.64","295","5.9","1","3750","1220","30","75","24.4","75.45","24.55","3432","1020","318","200","4452","518","0","68.64","20.4","6.36","4","87","671","106","23","2992","","1091","24","6","65.62","55","4112","82.24","100","454.29","288","4112","82.24","100","63.18","52.5","722","92.92","100","722","777","66.39","56","3293","80.18","100","3293","4107","57.69","51","97","83.62","100","97","116","68.85","58","3190","85.07","100","471.59","307","3190","85.07","100","54.47","48","915","75","100","394.73","235","915","75","100","4112","888","82.24","4695","1","32","0.64","58","1.16","139","2.78","644","12.88","1","0.02","1124","22.48","4049","80.98"
"model","gpt","all","all","5000","3260","1157","583","65.2","23.14","11.66","3841","76.82","3260","65.2","2072","41.44","2027","40.54","1151","23.02","6","0.12","0","0","0","0","542","10.84","39","0.78","1233","24.66","2027","40.54","2","3813","1168","19","76.26","23.36","76.55","23.45","3553","1019","260","149","4572","409","0","71.06","20.38","5.2","2.98","410","2577","678","168","826","5","322","9","5","55.44","47","4263","85.26","100","354.68","220","4263","85.26","100","53.7","46","3021","92.67","100","3021","3260","60.17","50","843","72.86","100","843","1157","58.64","49","399","68.44","100","399","583","57.75","48","3333","87.41","100","370.76","232","3333","87.41","100","47.46","41","920","78.77","100","298.73","176.5","920","78.77","100","4263","737","85.26","2926","2","22","0.44","28","0.56","142","2.84","101","2.02","1112","22.24","520","10.4","508","10.16"
"domain","all","cs","all","3000","1900","1000","100","63.33","33.33","3.33","1998","66.6","1900","63.33","1262","42.07","1244","41.47","991","33.03","9","0.3","0","0","0","0","89","2.97","9","0.3","656","21.87","1244","41.47","2","2544","453","3","84.8","15.1","84.88","15.12","2149","286","395","167","2435","562","0","71.63","9.53","13.17","5.57","76","1673","227","22","795","","204","1","2","50.93","42","2586","86.2","100","408.76","200","2586","86.2","100","48.09","39","1722","90.63","100","1722","1900","57.16","49","781","78.1","100","781","1000","51.1","43","83","83","100","83","100","51.48","42","2206","86.71","100","390.05","197.5","2206","86.71","100","47.73","40","380","83.89","100","517.36","217","380","83.89","100","2586","414","86.2","1736","2","14","0.47","24","0.8","41","1.37","182","6.07","13","0.43","366","12.2","1119","37.3"
"domain","all","economics","all","1500","1053","396","51","70.2","26.4","3.4","1103","73.53","1053","70.2","488","32.53","484","32.27","394","26.27","2","0.13","0","0","0","0","48","3.2","2","0.13","569","37.93","484","32.27","1","1305","184","11","87","12.27","87.64","12.36","1279","170","26","14","1449","40","0","85.27","11.33","1.73","0.93","41","924","128","6","340","1","50","6","4","54.78","47","1384","92.27","100","318","211","1384","92.27","100","56.27","47","987","93.73","100","987","1053","50.7","42","356","89.9","100","356","396","54.54","49","41","80.39","100","41","51","56.49","48","1212","92.87","100","328.32","219","1212","92.87","100","42.98","38","171","92.93","100","246.69","173","171","92.93","100","1384","116","92.27","1011","1","12","0.8","11","0.73","4","0.27","33","2.2","22","1.47","177","11.8","613","40.87"
"domain","all","environmental","all","3000","733","2012","255","24.43","67.07","8.5","984","32.8","733","24.43","413","13.77","395","13.17","2008","66.93","4","0.13","0","0","0","0","237","7.9","14","0.47","338","11.27","395","13.17","4","2003","989","8","66.77","32.97","66.95","33.05","1837","872","166","117","2709","283","0","61.23","29.07","5.53","3.9","167","507","226","83","1329","","680","3","5","64.31","56","2185","72.83","100","428.67","257","2185","72.83","100","61.28","54","658","89.77","100","658","733","65.81","56","1356","67.4","100","1356","2012","64.12","60","171","67.06","100","171","255","69.97","61","1534","76.59","100","459.65","291","1534","76.59","100","50.96","45.5","650","65.72","100","355.91","193","650","65.72","100","2185","815","72.83","2583","4","22","0.73","16","0.53","147","4.9","228","7.6","618","20.6","588","19.6","1684","56.13"
"domain","all","medicine","all","2990","1128","1338","524","37.73","44.75","17.53","1623","54.28","1128","37.73","844","28.23","790","26.42","1334","44.62","4","0.13","0","0","0","0","445","14.88","50","1.67","338","11.3","790","26.42","29","2148","791","51","71.84","26.45","73.09","26.91","2036","736","112","55","2772","167","0","68.09","24.62","3.75","1.84","349","858","269","142","941","1","380","17","33","71.4","60","2540","84.95","100","435.09","277","2540","84.95","100","67.52","54","1052","93.26","100","1052","1128","79.19","70","1115","83.33","100","1115","1338","59.09","47","373","71.18","100","373","524","77.67","65","1895","88.22","100","482.84","318","1895","88.22","100","53.45","47","637","80.53","100","297.27","194","637","80.53","100","2540","450","84.95","2117","29","16","0.54","24","0.8","77","2.58","165","5.52","408","13.65","462","15.45","1528","51.1"
"domain","all","physics","all","3000","1407","1469","124","46.9","48.97","4.13","1526","50.87","1407","46.9","899","29.97","889","29.63","1466","48.87","3","0.1","0","0","0","0","112","3.73","7","0.23","518","17.27","889","29.63","5","2423","551","26","80.77","18.37","81.47","18.53","2288","457","135","94","2745","229","0","76.27","15.23","4.5","3.13","100","1158","237","19","1165","12","295","9","5","52.59","46","2807","93.57","100","364.1","252","2807","93.57","100","50.34","46","1371","97.44","100","1371","1407","54.82","48","1337","91.01","100","1337","1469","53.51","46","99","79.84","100","99","124","54.2","47.5","2276","93.93","100","360.54","255","2276","93.93","100","46.1","42","516","93.65","100","385.32","234","516","93.65","100","2807","193","93.57","2096","5","15","0.5","13","0.43","13","0.43","90","3","48","1.6","464","15.47","1185","39.5"
"domain","all","psychology","all","1500","874","555","71","58.27","37","4.73","945","63","874","58.27","491","32.73","488","32.53","553","36.87","2","0.13","0","0","0","0","70","4.67","1","0.07","386","25.73","488","32.53","0","986","509","5","65.73","33.93","65.95","34.05","943","469","43","40","1412","83","0","62.87","31.27","2.87","2.67","49","596","277","21","341","1","211","3","1","64.56","55","1270","84.67","100","337.36","239","1270","84.67","100","62.77","55","781","89.36","100","781","874","68.56","55","439","79.1","100","439","555","57.42","53.5","50","70.42","100","50","71","70.45","60","848","86","100","376.68","280.5","848","86","100","52.65","46","420","82.51","100","257.07","176","420","82.51","100","1270","230","84.67","1009","0","10","0.67","7","0.47","19","1.27","62","4.13","10","0.67","237","15.8","765","51"
